dateConvention,referenceDecision,idBeneficiaire,nomBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,notificationUE,field,value,message,lineRejected
2024-06-18,Délibération CP du 31/05/2024,45074466900042.0,Association Music Al Sol,"une aide à l'action ""Écris-moi une chanson""",2000.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-02,Deliberation CP du 28-04-2023,45074466900042.0,Association Music Al Sol,une aide à la réalisation de la saison itinérante et festivals 2023,20000.0,en numéraire,unique,2023-06-16_2023-06-16,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-12,Deliberation CP du 26-05-2023,31165153300037.0,Asso. Syndicale des vignerons indépendants,Promotion de l'oenotourisme,25000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-06-07,Deliberation CP du 29-04-22,42335282200021.0,Fédération départementale des calendretas,Réalisation du programme d'activités culturelles dans les calandretas - Label Oc,10000.0,en numéraire,unique,2022-06-07_2022-06-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-06-07,Deliberation CP du 29-04-22,45074466900042.0,Association music'al sol,"une action en milieu penitentiaire ""Chaque voix compte""",2000.0,en numéraire,unique,2022-05-23_2022-05-23,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,45074466900042.0,Association Music Al Sol,"une aide à l'action ""La fabrique à chansons""",1500.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-02,Deliberation CP du 28-04-2023,45074466900042.0,Association Music Al Sol,une aide à la médiation en itinérance rurale,5000.0,en numéraire,unique,2023-06-16_2023-06-16,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-13,Deliberation CP du 26-05-2023,50788683600018.0,GDSA 11,Plan sanitaire élevage Varroa et accompagnement de sapiculteurs,25000.0,en numéraire,échelonné,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-06-20,Deliberation CP du 29-04-22,83465490700015.0,Occitanie Livre & Lecture,Développement du livre et de la lecture,8000.0,en numéraire,unique,2022-06-23_2022-06-23,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-06-27,Deliberation CP du 24-06-22,45002885700016.0,Club Narbonne Volley,Subvention de fonctionnement complémentaire pour la saison 2021-2022,3000.0,en numéraire,unique,2022-06-27_2022-12-14,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-14,Délibération CP du 31/05/2024,38965363500026.0,FARANDOLE,Subvention de fonction 2024,41500.0,en numéraire,échelonné,2024-07-01_2025-04-30,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-01,Deliberation CP du 28-04-2023,38464393800051.0,GEE AUDE,EEDD,48000.0,en numéraire,échelonné,2023-10-01_2024-04-02,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-30,Deliberation CP du 26-05-2023,42989676400066.0,ADEAR 11,Senisibilisation Agrilocal et circuits-courts,36000.0,en numéraire,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-07-29,Deliberation CP du 22-07-22,30200478300015.0,Association du Restaurant inter-administratif de Carcassonne,Convention financière cadre,72720.61,en numéraire,unique,2022-08-19_2022-08-19,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-07-29,Deliberation CP du 22-07-22,30200478300015.0,Association du Restaurant inter-administratif de Carcassonne,Convention financière cadre,31186.76,en numéraire,unique,2022-08-19_2022-08-19,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-22,Délibération CP du 19/07/2024,42335282200021.0,Fédération départementale des calendretas,promotion de la langue et de la culture occitane (avenant),20000.0,en numéraire,unique,2024-07-22_2024-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-02,Deliberation CP du 28-04-2023,33294416400034.0,association Acti City - Information Jeunesse,"Subvention en faveur de la jeunesse : pour l'information des jeunes, pour l'accès à la culture, aux loisirs, et aux sports, pour accompagner les jeunes dans leur accès à l'autonomie",370000.0,en numéraire,échelonné,2023-05-02_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-07-25,Deliberation CP du 21-07-2023,39819156900365.0,Unis-Cité,Mobilisation de 20 services civiques sur le programme Solidarité Seniors,40000.0,en numéraire,échelonné,2023-07-21_2024-12-31,oui,,,SIRET de l'allocataire manquant ou invalide,non
2022-11-28,Deliberation CP du 25-11-22,45002885700016.0,Club Narbonne Volley,Subvention de fonctionnement pour la saison 2022-2023,30000.0,en numéraire,unique,2022-11-28_2022-12-14,oui,,,SIRET de l'allocataire manquant ou invalide,non
2022-10-04,Deliberation CP du 30-09-22,49358290200034.0,Banque alimentaire de l'Aude,Aide aux réfugiés Ukrainiens,8000.0,en numéraire,unique,2022-12-05_2022-12-05,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-30,Délibération CP du 27/09/2024,39819156900365.0,Unis-Cité,Mobilisation de 20 services civiques sur le programme Solidarité Seniors,40000.0,en numéraire,échelonné,2024-07-21_2024-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-14,Deliberation CP du 26-05-2023,37972252300022.0,BIOCIVAM 11,Promotion de l'agriculture biologique,30000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-28,Deliberation CP du 29-09-2023,84822425900020.0,ADEM Pays Cathare,Mise en valeur des produits Marque Pays Cathare,36000.0,en numéraire,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-04-02,Délibération CP du 29-01-2021,50405519500029.0,Comité des œuvres sociales,Fonctionnement,1879640.77,en numéraire,échelonné,2021-02-10_2021-06-30,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-11-28,Deliberation CP du 25-11-22,52395483200029.0,SASP de l'Union Sportive Carcassonnaise,Subvention de fonctionnement pour la saison 2022-2023,23000.0,en numéraire,unique,2022-11-28_2022-12-14,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-08-03,Délibération CP du 29/09/2023,,Association Biladi,Subvention pour la mise en œuvre d'un projet de coopération décentralisée,30000.0,en numéraire,unique,2024-01-01_2024-01-31,,idBeneficiaire,,SIRET du bénéficiaire manquant ou invalide,oui
2023-08-03,Délibération CP du 29/09/2023,,Association Biladi,Subvention pour la mise en œuvre d'un projet de coopération décentralisée,30000.0,en numéraire,unique,2024-01-01_2024-01-31,,,,SIRET de l'allocataire manquant ou invalide,oui
2023-07-01,Deliberation CP du 30-06-2023,21110185200013.0,Commune de Lagrasse,Subvention de fonction 2023,27620.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-28,Deliberation CP du 29-09-2023,30469235300044.0,Fondation du Patrimoine,Valorisation des patrimoines non protégés privés,5000.0,en numéraire,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-05-17,Délibération CP du 23-04-21,35338402700036.0,Association Groupe audois de recherche et d'animation etnhographique,"Réalisation du programme ""Ethnologie du Patrimoine, Patrimoine de l'Ethnologie, Patrimoines des Territoires et Patrimoine Culturel Immatériel - Actions Culturelles 2021""",28000.0,en numéraire,unique,2021-05-17_2022-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-04-05,Délibération CP du 23-04-21,35108335700068.0,Compagnie juin 88,mise en œuvre du projet artistique du Théâtre dans les vignes,20000.0,en numéraire,unique,2021-05-17_2022-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-02,Délibération CP du 29/11/2024,39240267300025.0,Association Union Sportive Carcassonnaise,Subvention de fonctionnement pour la saison 2024-2025,75000.0,en numéraire,unique,2024-12-02_2024-12-12,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-07-11,Deliberation CP du 30-06-2023,30469235300044.0,ADT,Cadre d'intervention de l'ADT pour le compte du Département,2427900.0,en numéraire,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-27,Deliberation CP du 27-10-2023,38745232900015.0,Association Racing Club Narbonne,Subvention de fonctionnement pour la saison 2023-2024,82500.0,en numéraire,unique,2023-10-27_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2021-08-06,Délibération CP du 23-04-21,43312253800013.0,Centre Joe Bousquet et son temps,Contrat d'objectif et les actions culturelles,45000.0,en numéraire,unique,2021-06-08_2022-06-08,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-05-31,Délibération CP du 23-04-21,77555566700010.0,Fédération Audoise des Œuvres Laïques,Réalisation d'activités 2021 du pôle d'éducation populaire,10000.0,en numéraire,unique,2021-05-31_2022-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,48080389900065.0,Association 11 bouge,Scene d'enfance 2025,10000.0,en numéraire,unique,2024-12-09_2024-12-09,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-07-05,Deliberation CP du 30-06-2023,31559024000034.0,CAUE,subvention de fonctionnement 2023,740494.0,en numéraire,échelonné,2023-07-00_2023-11-00,non,datesPeriodeVersement,2023-07-00_2023-11-00,donnée non récupérable,
2023-07-05,Deliberation CP du 30-06-2023,31559024000034.0,CAUE,subvention de fonctionnement 2023,740494.0,en numéraire,échelonné,2023-07-00_2023-11-00,non,datesPeriodeVersement,2023-07-00_2023-11-00,donnée non récupérable,
2023-07-05,Deliberation CP du 30-06-2023,31559024000034.0,CAUE,subvention de fonctionnement 2023,740494.0,en numéraire,échelonné,2023-07-00_2023-11-00,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-26,Délibération CP du 24-11-2023,35108335700068.0,Association Le théâtre dans les vignes,"une aide dans le cadre de la manifestation ""Temps de cirque dans l'Aude""",1260.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-06-14,Délibération CP du 23-04-21,31119941800048.0,Occitanie en scène,Réalisation d'une mission de soutien à la diffusion des arts du spectacle dans l'Aude,12000.0,en numéraire,unique,2021-06-14_2022-06-14,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-05-17,Délibération CP du 23-04-21,32315845100019.0,ADCFA - Scene nationale de Foix et de l'Ariège,"Réalisation du projet ""Les Pierres de Gué"" Scène d'Aude et d'Ariège",8000.0,en numéraire,unique,2021-05-17_2022-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,92937193800010.0,Scene nationale grand Narbonne,Scene d'enfance 2025,12572.0,en numéraire,unique,2024-12-10_2024-12-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-02,Deliberation CP du 29-09-2023,40066042900046.0,Les Restaurants du Cœur de l'Aude,Subvention de fonction 2023,32000.0,en numéraire,unique,2023-11-03_2023-11-03,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-26,Délibération CP du 24-11-2023,35108335700068.0,Association Le théâtre dans les vignes,une aide dans le cadre d'actions complémentaires pour la saison 2023,5000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-06-14,Délibération CP du 23-04-21,34200706900038.0,Association Arts Vivants 11,Aide au fonctionnement de la structure,152950.0,en numéraire,unique,2021-06-14_2022-06-14,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-05-05,Délibération CP du 23/04/2021 N°42,39301786800059.0,Fédération Aude Claire,Subvention de fonctionnement 2021,18800.0,en numéraire,autre,2021-05-20_2022-05-20,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-15,Deliberation CP du 28-04-2023,32555823700021.0,Association Groupe audois de recherche et d'animation ethnographique,une aide à la réalisation du programme culturel 2023,26000.0,en numéraire,unique,2023-05-17_2023-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-24,Deliberation CP du 24-11-2023,39240267300025.0,Association Union Sportive Carcassonnaise,Subvention de fonctionnement pour la saison 2023-2024,75000.0,en numéraire,unique,2023-11-24_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-26,Délibération CP du 24-11-2023,35108335700068.0,Association Le théâtre dans les vignes,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,5000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-05-17,Délibération CP du 23-04-21,41224378400011.0,Association cinem'aude 2000 et vilatges al pais,Animation du réseau de diffusion cinématographique en milieu rural,95000.0,en numéraire,unique,2021-05-17_2022-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-06-22,Délibération CP du 04/06/2021,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2021,28000.0,en numéraire,échelonné,2020-07-10_2021-06-30,non,idBeneficiaire,8612023500113.0,SIRET du bénéficiaire manquant ou invalide,oui
2021-06-22,Délibération CP du 04/06/2021,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2021,28000.0,en numéraire,échelonné,2020-07-10_2021-06-30,non,,,SIRET de l'allocataire manquant ou invalide,oui
2023-05-15,Deliberation CP du 28-04-2023,32555823700021.0,Association Groupe audois de recherche et d'animation ethnographique,mise à disposition gratuite des locaux à la Maison des Mémoires par le Département,32000.0,en nature,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-26,Délibération CP du 24-11-2023,35108335700068.0,Association Le théâtre dans les vignes,"une aide dans le cadre de la manifestation ""Scènes d'enfance 2024""",1996.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,"une aide dans le cadre de la manifestation ""Temps de cirque dans l'Aude""",20000.0,en numéraire,unique,2023-12-07_2023-12-07,non,idBeneficiaire,3805449320029.0,SIRET du bénéficiaire manquant ou invalide,oui
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,"une aide dans le cadre de la manifestation ""Temps de cirque dans l'Aude""",20000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,oui
2021-05-17,Délibération CP du 23-04-21,35338402700036.0,Association Groupe de recherche d'animation photographique,Réalisation de la programmation artistique et culturelle du G.R.A.P.h,23000.0,en numéraire,unique,2021-05-17_2022-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-10-14,Délibération CP du 24/09/2021,30200478300015.0,Association du Restaurant inter-administratif de Carcassonne,Convention financière cadre,72699.48,en numéraire,unique,2021-10-21_2021-10-21,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,33947067600034.0,Association Théâtre Populaire,une aide à la diffusion de spectacles vivants sur le territoire départemental en 2023,25000.0,en numéraire,unique,2023-05-31_2023-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-28,Délibération CP du 24-11-2023,33947067600034.0,Association Théâtre Populaire,"une aide dans le cadre du dispositif ""Collèges au théâtre"" 2023/2024",45000.0,en numéraire,échelonné,2023-12-07_2024-01-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2013-11-27,Délibération CP du 24-11-2023,45074466900042.0,Association Music Al Sol,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,10000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-06-15,Délibération CP du 23-04-21,40296541200016.0,Association La Claranda,Organisation de la seconde édition du Ligat festival,5000.0,en numéraire,unique,2021-06-21_2021-06-21,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-11-29,Délibération CP du 26-11-2021 (n° 40),39240267300025.0,Association Union Sportive Carcassonnaise,Subvention de fonctionnement pour la saison 2021-2022,84000.0,en numéraire,unique,2021-11-29_2021-12-15,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,35338402700036.0,Association Groupe de recherche et d'animation photographique,une aide à la programmation artistique et culturelle,11000.0,en numéraire,unique,2023-05-31_2023-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-28,Délibération CP du 24-11-2023,33947067600034.0,Association Théâtre Populaire,"une aide dans le cadre de la manifestation ""Scènes d'enfance 2024""",1174.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2013-12-01,Délibération CP du 24-11-2023,34200706900020.0,Association Arts Vivants 11,une aide dans le cadre d'actions exceptionnelles pour la saison 2023,19000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
,Délibération CP du 04/06/2021 n°44,349275214.0,LPO AUDE,Programme actions et moyens financiers 2021,11341.0,en numéraire,échelonné,2021-10-06_2022-10-06,non,idBeneficiaire,349275214.0,SIRET du bénéficiaire manquant ou invalide,oui
,Délibération CP du 04/06/2021 n°44,349275214.0,LPO AUDE,Programme actions et moyens financiers 2021,11341.0,en numéraire,échelonné,2021-10-06_2022-10-06,non,,,SIRET de l'allocataire manquant ou invalide,oui
,Délibération CP du 04/06/2021 n°44,349275214.0,LPO AUDE,Programme actions et moyens financiers 2021,11341.0,en numéraire,échelonné,2021-10-06_2022-10-06,non,dateConvention,,L'exercice n'est pas un nombre,oui
2021-12-16,Délibération CP du 26-11-21,45157147500016.0,LA VERRERIE D'ALES,opération Temps de cirque dans l'Aude,23787.0,en numéraire,unique,2021-12-20_2021-12-20,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-30,Deliberation CP du 26-05-2023,78162233700033.0,GDS,Santé animale et respect de l'enviromment/désertification vétérinaire rurale,65000.0,en numéraire,échelonné,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-28,Délibération CP du 24-11-2023,33947067600034.0,Association Théâtre Populaire,"une aide dans le cadre de la manifestation ""Temps de cirque dans l'Aude""",1740.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2013-12-01,Délibération CP du 24-11-2023,43312253800013.0,Association Centre Joë Bousquet et son Temps,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,10000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2021-08-18,Délibération CP du 16-07-2021 n°35,39301786800059.0,Fédération Aude Claire,Subvention d'investissement 2020,4200.0,en numéraire,autre,2021-08-25_2022-08-12,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-01-24,Délibération CP du 16-12-21,33947067600034.0,ATP,diffusion de spectacles vivants sur le territoire départemental au cours de l'année 2022,45000.0,en numéraire,unique,2022-02-07_2022-02-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-07-18,Deliberation CP du 26-05-2023,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2023,27500.0,en numéraire,échelonné,2023-09-00_2024-00-00,non,datesPeriodeVersement,2023-09-00_2024-00-00,donnée non récupérable,
2023-07-18,Deliberation CP du 26-05-2023,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2023,27500.0,en numéraire,échelonné,2023-09-00_2024-00-00,non,datesPeriodeVersement,2023-09-00_2024-00-00,donnée non récupérable,
2023-07-18,Deliberation CP du 26-05-2023,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2023,27500.0,en numéraire,échelonné,2023-09-00_2024-00-00,non,idBeneficiaire,8612023500113.0,SIRET du bénéficiaire manquant ou invalide,oui
2023-07-18,Deliberation CP du 26-05-2023,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2023,27500.0,en numéraire,échelonné,2023-09-00_2024-00-00,non,,,SIRET de l'allocataire manquant ou invalide,oui
2013-12-01,Délibération CP du 24-11-2023,34200706900020.0,Association Arts Vivants 11,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,5000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-04-07,Deliberation CP du 25-03-22,41224378400011.0,CINEM'AUDE,une aide à l'animation d'un réseau de diffusion cinématographique en milieu rural,95000.0,en numéraire,unique,2022-04-13_2022-04-13,non,,,SIRET de l'allocataire manquant ou invalide,non
2019-10-30,Délibération CP du 25/10/2019 (n° 29),33294416400034.0,association Acti City - Information Jeunesse,"Convention pluriannuelle d’objectifs, et solde subvention 2019",162800.0,en numéraire,unique,2019-11-20_2019-11-20,oui,,,SIRET de l'allocataire manquant ou invalide,non
2019-12-02,Délibération CP du 29/11/2019 (n° 52),38745232900015.0,Club Racing Club Narbonne Méditerrannée,Subvention de fonctionnement pour la saison 2019-2020,99000.0,en numéraire,échelonné,2019-12-03_2020-11-27,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-09-13,Deliberation CP du 21-07-2023,77555567500252.0,PEP 11,Equipement du lieu de séjour LAMOURELLE,130000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-29,Délibération CP du 24-11-2023,41224378400011.0,Association Ciném'Aude,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,20000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-05-25,Deliberation CP du 29-04-22,34200706900038.0,Association Arts Vivants 11,Aide aux actions spécifiques,95000.0,en numéraire,unique,2022-05-31_2022-05-31,,,,SIRET de l'allocataire manquant ou invalide,non
2019-12-02,Délibération CP du 29/11/2019 (n° 52),45002885700016.0,Club Narbonne Volley,Subvention de fonctionnement pour la saison 2019-2020,36000.0,en numéraire,échelonné,2019-12-03_2020-11-27,oui,,,SIRET de l'allocataire manquant ou invalide,non
2020-08-12,Délibération CP du 14/04/2020,30631260400011.0,Association Les rives des Corbières,fonds de soutien COVID 19,50000.0,en numéraire,unique,2020-08-14_2020-08-14,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-07-24,Deliberation CP du 21-07-2023,88289498300023.0,Coopérative de transition écologique HVA,Actions d'éducation à l'Environnement et au Développement Durable,10000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-06-07,Deliberation CP du 29-04-22,31119941800048.0,Occitanie en scène,Réalisation d'une mission de soutien à la diffusion des arts du spectacle dans l'Aude,12000.0,en numéraire,unique,2022-06-07_2022-06-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-06-07,Deliberation CP du 29-04-22,45074466900042.0,Association music'al sol,"une aide à la création ""cartoon machine""",1000.0,en numéraire,unique,2022-05-23_2022-05-23,non,,,SIRET de l'allocataire manquant ou invalide,non
2020-02-11,Délibération CP du 31/01/2020,50405519500029.0,Comité des œuvres sociales,Fonctionnement,1876350.77,en numéraire,échelonné,2020-02-14_2020-06-30,non,,,SIRET de l'allocataire manquant ou invalide,non
2020-05-25,Délibération CP du 20/05/2020,40066042900046.0,Les Restaurants du Cœur de l'Aude,Subvention de fonctionnement 2020,32000.0,en numéraire,unique,2020-06-19_2020-06-19,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-26,Deliberation CP du 29-09-2023,40165150000019.0,OPEN IG,Production de données d'occupation du sol,60000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-05-25,Deliberation CP du 29-04-22,34200706900038.0,Association Arts Vivants 11,Aide au fonctionnement de la structure,156000.0,en numéraire,unique,2022-05-31_2022-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-05-02,Deliberation CP du 29-04-22,77581843800068.0,FRMJC,Projet à destination des jeunes,35000.0,en numéraire,unique,2022-05-02_2022-12-14,oui,,,SIRET de l'allocataire manquant ou invalide,non
2020-04-20,Délibération CP du 14/04/2020,776951881.0,IREPS,Convention de partenariat dans les solidarités,35000.0,en numéraire,unique,2020-06-04_2021-06-04,oui,idBeneficiaire,776951881.0,SIRET du bénéficiaire manquant ou invalide,oui
2020-04-20,Délibération CP du 14/04/2020,776951881.0,IREPS,Convention de partenariat dans les solidarités,35000.0,en numéraire,unique,2020-06-04_2021-06-04,oui,,,SIRET de l'allocataire manquant ou invalide,oui
2020-09-02,Délibération CP du 20/05/2020,38464393800051.0,CEN LR,Actions 2020 - avenant 2020-convention du 02/09/2020,85000.0,en numéraire,échelonné,2020-10-16_2021-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-31,Deliberation CP du 27-10-2023,88289498300023.0,Coopérative de transition écologique HVA,Actions d'éducation à l'Environnement et au Développement Durable,15000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-06-07,Deliberation CP du 29-04-22,45074466900042.0,Association music'al sol,"Aide à la réalisation ""la fabrique à chanson""",1000.0,en numéraire,unique,2022-05-23_2022-05-23,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-07-13,Deliberation CP du 24-06-22,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2022,28000.0,en numéraire,échelonné,2022-09-15_2023-06-30,non,idBeneficiaire,8612023500113.0,SIRET du bénéficiaire manquant ou invalide,oui
2022-07-13,Deliberation CP du 24-06-22,8612023500113.0,SAFER OCCITANIE,Subvention de fonction 2022,28000.0,en numéraire,échelonné,2022-09-15_2023-06-30,non,,,SIRET de l'allocataire manquant ou invalide,oui
2020-06-12,Délibération CP du 20/05/2020,38540208600040.0,Secours Populaire Français- Fédération Populaire de l'Aude,Subvention d'investissement 2020,30000.0,en numéraire,unique,2020-06-23_2021-06-23,oui,,,SIRET de l'allocataire manquant ou invalide,non
2020-11-03,Délibération CP du 25/09/2020,349275214.0,LPO AUDE,Programme actions et moyens financiers 2020,24115.0,en numéraire,échelonné,2020-11-03_2020-12-31,non,idBeneficiaire,349275214.0,SIRET du bénéficiaire manquant ou invalide,oui
2020-11-03,Délibération CP du 25/09/2020,349275214.0,LPO AUDE,Programme actions et moyens financiers 2020,24115.0,en numéraire,échelonné,2020-11-03_2020-12-31,non,,,SIRET de l'allocataire manquant ou invalide,oui
2023-10-25,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide supplémentaire au fonctionnement,50000.0,en numéraire,unique,2023-10-30_2023-10-30,non,idBeneficiaire,3805449320029.0,SIRET du bénéficiaire manquant ou invalide,oui
2023-10-25,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide supplémentaire au fonctionnement,50000.0,en numéraire,unique,2023-10-30_2023-10-30,non,,,SIRET de l'allocataire manquant ou invalide,oui
2022-06-07,Deliberation CP du 29-04-22,45074466900042.0,Association music'al sol,une aide à la diffusion itinérante 2022,18000.0,en numéraire,unique,2022-05-23_2022-05-23,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-10-04,Deliberation CP du 30-09-22,40066042900046.0,Restaurants du cœur de l'Aude,Aide alimentaire,32000.0,en numéraire,unique,2022-12-01_2022-12-01,oui,,,SIRET de l'allocataire manquant ou invalide,non
2020-07-21,Délibération CP du 16/07/2020,30200478300015.0,Association du Restaurant inter-administratif de Carcassonne,Convention financière cadre,33716.85,en numéraire,unique,2020-08-18_2020-08-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2020-11-05,Délibération CP du 25/09/2020,35382464200022.0,CEMAFOR,Convention FSE 202001266 émergence et accompagnement au projet professionnel bassin limouxin et haute-vallée,38400.95,en numéraire,échelonné,2020-11-06_2020-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
